Date,Open,High,Low,Close,Volume,OpenInt
2012-01-03,8.25,8.3,7.5,7.55,6364,0
2012-01-04,7.75,8.15,7.7,7.85,6287,0
2012-01-05,8.05,9.2,7.55,8.5,6839,0
2012-01-06,8.95,9.15,8.5,8.65,4881,0
2012-01-09,9,9,8.55,8.75,2906,0
2012-01-10,8.9,10.5,8.55,9.05,7607,0
2012-01-11,9.45,9.45,8.8,9.05,4188,0
2012-01-12,9,9.25,8.75,9,1040,0
2012-01-13,9.45,11.4,7.8,9,1852,0
2012-01-17,9.75,9.75,8.7,8.95,1321,0
2012-01-18,8.6,9.7,8.6,9.7,1924,0
2012-01-19,8.95,10.7,8.95,10.7,5184,0
2012-01-20,10.65,10.65,9.8,10.1,3102,0
2012-01-23,9.8,9.85,9.2,9.8,2306,0
2012-01-24,9.6,9.9,8.9,8.9,8026,0
2012-01-25,9.3,10.75,9,10.7,4410,0
2012-01-26,10.5,10.5,9.3,9.5,3726,0
2012-01-27,9.3,10.2,9.25,9.75,1844,0
2012-01-30,9.5,10.35,9.5,10.35,2247,0
2012-01-31,9.65,10.3,9.5,10.25,3421,0
2012-02-01,10.25,10.25,10.05,10.1,4005,0
2012-02-02,10.05,10.5,9.95,10.2,6567,0
2012-02-03,10.2,10.95,10.1,10.5,6516,0
2012-02-06,10.85,10.95,10.5,10.95,3430,0
2012-02-07,10.9,11.1,10.35,10.5,8813,0
2012-02-08,10.5,10.9,10.25,10.4,4623,0
2012-02-09,10.5,11,10.4,11,1477,0
2012-02-10,10.75,11.05,9.8,10.2,11874,0
2012-02-13,10.2,10.8,10.1,10.75,4194,0
2012-02-14,10.85,11.45,10.85,11.2,5819,0
2012-02-15,11.25,11.5,10.95,11.3,7621,0
2012-02-16,11.45,11.85,11.3,11.85,607,0
2012-02-17,11.95,12.45,11.05,11.85,9686,0
2012-02-21,12.4,12.4,12,12.35,3269,0
2012-02-22,12.25,12.35,12.1,12.1,558,0
2012-02-23,12.15,12.15,11.5,11.9,3150,0
2012-02-24,12.15,12.45,11.9,12.45,2876,0
2012-02-27,12.45,13.5,12.45,13.45,11102,0
2012-02-28,13.35,15.45,13.15,15,15008,0
2012-02-29,15.4,15.65,14.25,14.6,12998,0
2012-03-01,14.7,14.75,13.75,13.8,7649,0
2012-03-02,14.95,14.95,13.5,13.65,3014,0
2012-03-05,13.65,13.65,12.7,13.3,7039,0
2012-03-06,13.4,13.4,11.75,12.9,11907,0
2012-03-07,12.55,13,12.5,12.5,2240,0
2012-03-08,12.75,12.85,12.4,12.75,1804,0
2012-03-09,13.55,13.75,12.8,13.25,9909,0
2012-03-12,14.05,14.05,12.35,12.5,7971,0
2012-03-13,12.5,13.2,12.25,12.65,5798,0
2012-03-14,12.15,12.75,12.15,12.5,2123,0
2012-03-15,12.65,13.4,12.6,13.1,14235,0
2012-03-16,13.1,13.25,12.25,12.75,3641,0
2012-03-19,13.05,13.05,12.4,12.5,7181,0
2012-03-20,12.5,12.7,12.25,12.5,1785,0
2012-03-21,12.5,12.65,12.35,12.5,1725,0
2012-03-22,11.65,12.45,11.65,12.35,1731,0
2012-03-23,12.4,12.4,12.25,12.3,1201,0
2012-03-26,12.25,12.3,11.6,11.6,11519,0
2012-03-27,11.75,11.85,11.05,11.1,4312,0
2012-03-28,11.25,11.3,10.95,11.15,1586,0
2012-03-29,10.95,12.2,10.95,12.2,2831,0
2012-03-30,11.95,12.196,11.25,11.3,4098,0
2012-04-02,12.2,12.2,11.25,11.35,3207,0
2012-04-03,11.65,11.65,11,11.25,496,0
2012-04-04,11.05,11.25,10.3,10.7,4046,0
2012-04-05,10.75,11.15,10.5,10.9,3267,0
2012-04-09,10.3,10.4,9.85,10,6373,0
2012-04-10,9.8,10.2,9.65,10,5088,0
2012-04-11,10.15,11.4,10.15,11,4440,0
2012-04-12,10.95,10.95,9.95,10.35,2044,0
2012-04-13,10,10.35,9.95,10.25,1598,0
2012-04-16,10.1,10.3,9.95,10,11604,0
2012-04-17,10.15,10.9,9.95,10.5,4614,0
2012-04-18,10.65,13,10.3,11.25,9975,0
2012-04-19,11.45,11.95,11.2,11.25,4057,0
2012-04-20,11.3,11.3,10.85,11.1,3791,0
2012-04-23,10.95,11.35,10.3,10.55,3076,0
2012-04-24,10.6,11.7,10.4,11.7,3391,0
2012-04-25,11.5,11.8,11.1,11.15,2221,0
2012-04-26,10.85,11.65,10.3,11.65,4377,0
2012-04-27,11.5,11.6,10.85,11.55,1729,0
2012-04-30,11.35,11.45,10.8,11.245,5275,0
2012-05-01,11.15,11.75,10.8,11.5,7778,0
2012-05-02,11.75,11.75,10.8,11.65,4551,0
2012-05-03,11.4,11.4,11.1,11.3,164,0
2012-05-04,10.9,11.25,10.9,11.2,1688,0
2012-05-07,11,11,10.9,10.9,2687,0
2012-05-08,10.9,10.95,10.8,10.9,1735,0
2012-05-09,11.85,11.85,10.8,10.9,1599,0
2012-05-10,10.8,11,10.75,10.8,1350,0
2012-05-11,10.85,11.4,10.25,11,3913,0
2012-05-14,10.65,10.65,10.15,10.5,4574,0
2012-05-15,10.95,10.95,10,10.5,10797,0
2012-05-16,10.1,10.2,9.95,10,5203,0
2012-05-17,10.15,10.15,9.6,9.95,2533,0
2012-05-18,9.8,10.1,9.6,10,2343,0
2012-05-21,10,10,9.55,9.85,1447,0
2012-05-22,9.6,10.2,9.6,9.8,3095,0
2012-05-23,9.8,10.15,9.5,9.5,1576,0
2012-05-24,9.9,10,9.55,10,2466,0
2012-05-25,9.95,10.05,9.75,9.95,602,0
2012-05-29,9.9,10.75,9.8,10.5,801,0
2012-05-30,10.2,10.75,9.9,10.1,3318,0
2012-05-31,9.9,10.35,9.9,10.31,4118,0
2012-06-01,10.3,10.3,9.9,10,3169,0
2012-06-04,9.95,10.1,9.85,10.1,6550,0
2012-06-05,9.8,9.9,9.25,9.75,4578,0
2012-06-06,9.8,10,9.7,9.95,4266,0
2012-06-07,9.7,10,9.7,10,717,0
2012-06-08,9.75,10,9.7,9.8,779,0
2012-06-11,10.3,10.35,10,10,877,0
2012-06-12,10,10,9.8,10,2337,0
2012-06-13,10.05,10.25,9.5,10,1633,0
2012-06-14,9.9,10,9.5,9.95,787,0
2012-06-15,9.75,10,9.5,9.7,565,0
2012-06-18,9.6,9.75,9.5,9.65,1577,0
2012-06-19,9.65,10,9.25,9.9,1098,0
2012-06-20,9.85,9.9,9.7,9.7,320,0
2012-06-21,9.25,9.75,9.25,9.4,550,0
2012-06-22,9.45,10,9.4,10,9500,0
2012-06-25,9.95,10,9.4,9.45,1690,0
2012-06-26,9.7,9.95,9.45,9.95,2600,0
2012-06-27,9.7,10.35,9.4,9.5,2938,0
2012-06-28,9.5,9.7,9.3,9.55,2524,0
2012-06-29,9.5,9.744,9.25,9.391,2163,0
